task,noise,method,k,seed,n_edges,frac_edges,frac_syn,sugar100__readout_full,sugar100__readout,sugar100__readout_ratio,sugar100__readout_trial_sd,sugar100__n_active_full,sugar100__n_active,sugar100__jaccard_active,sugar100__pearson_union,sugar100__pearson_fullactive,sugar100__mean_abs_rate_diff,wall_s
sugar,3.5,mag,5,0,2071412,0.1410353983590312,0.5733365339714506,49.333333333333336,39.66666666666666,0.804054054054054,8.806563209081938,99827,102064,0.7529825475384214,0.941580760345964,0.941784211695837,2.113785418656479,169
sugar,3.5,rand,5,0,2071412,0.1410353983590312,0.1408182716861021,49.333333333333336,0.6666666666666666,0.0135135135135135,0.4714045207910317,99827,114827,0.7250568579074683,0.5823831639754864,0.5878694636269359,4.616160236164576,173
sugar,3.5,rand,5,1,2071412,0.1410353983590312,0.1410145832152241,49.333333333333336,1.0,0.0202702702702702,0.0,99827,114761,0.7258024304131381,0.5709928446674801,0.5769184456568057,4.646217525460896,173
sugar,3.5,rand,5,2,2071412,0.1410353983590312,0.1410327861657727,49.333333333333336,0.0,0.0,0.0,99827,114979,0.726403266250884,0.5940885468870037,0.5987787815818559,4.592179429477699,167
sugar,3.5,dp,5,0,2071412,0.1410353983590312,0.5733365339714506,49.333333333333336,1.3333333333333333,0.027027027027027,0.4714045207910317,99827,116409,0.7286157388162312,0.0876074155070687,0.1100725123915264,4.845873437150257,166
sugar,3.5,dp,5,1,2071412,0.1410353983590312,0.5733365339714506,49.333333333333336,6.333333333333333,0.1283783783783783,1.8856180831641267,99827,116206,0.7274900844421699,0.0835917556689021,0.1033471824637431,4.836961041453429,173
sugar,3.5,dp,5,2,2071412,0.1410353983590312,0.5733365339714506,49.333333333333336,2.6666666666666665,0.054054054054054,0.4714045207910317,99827,116591,0.7307624638121591,0.0919173491357899,0.1155834037365367,4.839656542068531,172
sugar,3.5,act,5,0,2071412,0.1410353983590312,0.3853537544551532,49.333333333333336,33.666666666666664,0.6824324324324323,5.557777333511022,99827,103433,0.7618556432948763,0.9983115881324408,0.9984249695550128,0.6987497869119129,189
sugar,3.5,mag,10,0,895137,0.060946834034421,0.4067287727599152,49.333333333333336,33.666666666666664,0.6824324324324323,6.649979114420002,99827,105340,0.7449586228599131,0.8812147798335758,0.8816705082440452,2.800848238459336,169
sugar,3.5,rand,10,0,895137,0.060946834034421,0.0610431305938202,49.333333333333336,0.6666666666666666,0.0135135135135135,0.4714045207910317,99827,115039,0.7230633520449078,0.0645769529658728,0.0799827439036608,4.777334937182571,170
sugar,3.5,rand,10,1,895137,0.060946834034421,0.0608190316261396,49.333333333333336,3.0,0.0608108108108108,0.816496580927726,99827,114960,0.7225955986141409,0.0375594370530223,0.0504181954512155,4.777230634329953,171
sugar,3.5,rand,10,2,895137,0.060946834034421,0.0610677737141779,49.333333333333336,0.6666666666666666,0.0135135135135135,0.4714045207910317,99827,115120,0.7228563184302913,0.0463961298671563,0.0595613736994646,4.773494066035065,192
sugar,3.5,dp,10,0,895137,0.060946834034421,0.4067287727599152,49.333333333333336,1.0,0.0202702702702702,0.816496580927726,99827,116198,0.7275089964014394,0.1091139524375581,0.1311095068185438,4.831443422630947,184
sugar,3.5,dp,10,1,895137,0.060946834034421,0.4067287727599152,49.333333333333336,3.0,0.0608108108108108,0.816496580927726,99827,116223,0.7286350943728347,0.1126532290147371,0.1392080472977175,4.84661113911492,205
sugar,3.5,dp,10,2,895137,0.060946834034421,0.4067287727599152,49.333333333333336,2.6666666666666665,0.054054054054054,0.4714045207910317,99827,115941,0.7259230818455238,0.1023099976114138,0.1254053941462458,4.821953456624218,192
sugar,3.5,act,10,0,895137,0.060946834034421,0.2088828731809906,49.333333333333336,29.33333333333333,0.5945945945945945,1.699673171197595,99827,107113,0.7574074545871443,0.9840390020520242,0.984178959692292,1.2535165416875438,180
sugar,3.5,mag,20,0,323821,0.0220478705984226,0.2519982378937735,49.333333333333336,46.0,0.9324324324324323,35.59026084010437,99827,108990,0.736148525059031,0.7917654127209122,0.7931288371956741,3.477158091944084,169
sugar,3.5,rand,20,0,323821,0.0220478705984226,0.0221386140856855,49.333333333333336,0.0,0.0,0.0,99827,114789,0.7229791026083605,0.0031363618197843,0.0133091697853812,4.783806060216816,171
sugar,3.5,rand,20,1,323821,0.0220478705984226,0.0218883377218986,49.333333333333336,1.3333333333333333,0.027027027027027,0.9428090415820634,99827,114805,0.7220983038336248,0.0031351671842624,0.0132678827555071,4.7834833726484485,166
sugar,3.5,rand,20,2,323821,0.0220478705984226,0.0220462544739528,49.333333333333336,1.3333333333333333,0.027027027027027,1.8856180831641267,99827,114886,0.7230385272804603,0.0095316579810739,0.0202655571966659,4.781189228518159,179
